Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	750	250	2
50	100	750	250	2
100	150	750	250	2
150	200	750	250	2
200	250	750	250	2
250	300	750	250	2
300	350	750	250	2
350	400	750	250	2
400	450	750	250	2
450	500	750	250	2
500	550	750	500	4
550	600	750	500	4
600	650	750	500	4
650	700	750	500	4
700	750	750	500	4
750	800	750	500	4
800	850	750	500	4
850	900	750	500	4
900	950	750	500	4
950	1000	750	500	4
1000	1050	750	500	4
1050	1100	750	500	4
1100	1150	750	500	4
1150	1200	750	500	4
1200	1250	750	500	4
1250	1300	750	500	4
1300	1350	750	500	4
1350	1400	750	500	4
1400	1450	750	500	4
1450	1500	750	300	2
1500	1550	750	300	2
1550	1600	750	300	2
1600	1650	750	300	2
1650	1700	750	300	2
1700	1750	750	300	2
1750	1800	750	300	2
1800	1850	750	300	2
1850	1900	750	300	2
1900	1950	750	100	2
1950	2000	750	100	2
2000	2050	750	100	2
2050	2100	750	100	2
2100	2150	750	100	2
2150	2200	750	100	2
2200	2250	750	100	2
2250	2300	750	100	2
2300	2350	750	300	4
2350	2400	750	300	4
2400	2450	750	300	4
2450	2500	750	300	4
2500	2550	750	300	4
2550	2600	750	300	4
2600	2650	750	300	4
2650	2700	750	300	4
2700	2750	750	300	4
2750	2800	750	300	4
2800	2850	750	300	4
2850	2900	750	300	4
2900	2950	750	300	4
2950	3000	750	300	4
3000	3050	750	300	4
3050	3100	750	300	4
3100	3150	750	300	4
3150	3200	750	300	4
3200	3250	750	300	4
3250	3300	750	300	4
3300	3350	750	400	2
3350	3400	750	400	2
3400	3450	750	400	2
3450	3500	750	400	2
3500	3550	750	400	2
3550	3600	750	400	2
3600	3650	750	400	2
3650	3700	750	400	2
3700	3750	750	400	2
3750	3800	750	400	2
3800	3850	750	400	2
3850	3900	750	400	2
3900	3950	750	400	2
3950	4000	750	400	2
4000	4050	750	400	2
4050	4100	750	400	2
4100	4150	750	400	2
4150	4200	750	400	2
4200	4250	750	400	2
4250	4300	750	400	2
4300	4350	750	400	2
4350	4400	750	400	2
4400	4450	750	400	2
4450	4500	750	400	2
4500	4550	750	400	2
4550	4600	750	400	2
4600	4650	750	400	2
4650	4700	750	400	2
4700	4750	100	100	3
4750	4800	100	100	3
4800	4850	100	100	3
4850	4900	300	300	3
4900	4950	300	300	3
4950	5000	300	300	3
5000	5050	300	300	3
5050	5100	300	300	3
5100	5150	300	300	3
5150	5200	300	300	3
5200	5250	300	300	3
5250	5300	300	300	3
5300	5350	750	500	4
5350	5400	750	500	4
5400	5450	750	500	4
5450	5500	750	500	4
5500	5550	750	500	4
5550	5600	750	500	4
5600	5650	750	500	4
5650	5700	750	500	4
5700	5750	750	500	4
5750	5800	750	500	4
5800	5850	750	500	4
5850	5900	750	500	4
5900	5950	750	500	4
5950	6000	750	500	4
6000	6050	750	500	4
6050	6100	750	500	4
6100	6145	750	500	4
